skill,education
python,bachelor of science in computer science
java,bachelor of science in physics
c++,bachelor of science in mathematics
c#,bachelor of arts in economics
javascript,bachelor of arts in history
typescript,bachelor of engineering in electrical engineering
react,bachelor of engineering in mechanical engineering
angular,bachelor of engineering in civil engineering
node.js,bachelor of technology in information technology
express,bachelor of technology in electronics
django,bachelor of business administration
flask,bachelor of commerce
html,bachelor of computer applications
css,master of science in data science
sql,master of science in computer science
mysql,master of science in artificial intelligence
postgresql,master of arts in sociology
mongodb,master of arts in political science
machine learning,master of engineering in electronics
deep learning,master of engineering in robotics
nlp,master of technology in machine learning
computer vision,master of technology in software engineering
data analysis,master of business administration
data visualization,master of commerce
pandas,master of computer applications
numpy,phd in machine learning
scikit-learn,phd in computer vision
tensorflow,phd in electrical engineering
keras,phd in mechanical engineering
power bi,phd in data science
tableau,high school diploma
excel,associate degree in computer science
git,postgraduate diploma in business analytics
docker,diploma in computer engineering
kubernetes,diploma in software engineering
aws,diploma in electronics and communication
azure,certificate in full stack development
gcp,certificate in data analytics
linux,certificate in cloud computing
bash,certificate in cybersecurity
spark,certificate in devops
hadoop,certificate in digital marketing
airflow,certificate in graphic design
jira,bootcamp in machine learning
agile,bootcamp in web development
scrum,online course in python programming
fastapi,online course in SQL
matplotlib,training in AWS cloud
seaborn,training in agile project management
opencv,b.tech in computer science
pytorch,b.tech in artificial intelligence
rest api,b.tech in robotics
graphql,b.e in electronics
elasticsearch,b.e in civil
bigquery,m.tech in data science
looker,m.tech in cybersecurity
redshift,m.e in mechanical
d3.js,b.sc in chemistry
firebase,b.sc in zoology
supabase,m.sc in botany
flutter,m.sc in microbiology
swift,mba in human resources
kotlin,mba in operations
rust,mba in international business
go,mba in entrepreneurship
perl,b.arch in architecture
r,m.arch in urban design
stata,b.des in graphic design
sas,m.des in animation
snowflake,pgdm in finance
clickhouse,pgdm in marketing
ci/cd,b.pharma
jenkins,m.pharma
ansible,b.ed
terraform,m.ed
prometheus,b.lit
grafana,m.lit
splunk,bfa in painting
new relic,mfa in sculpture
vscode,diploma in game design
intellij,certificate in UI/UX design
eclipse,bachelor of laws
netbeans,llm
vim,bachelor of library science
notepad++,master of library science
json,bachelor of engineering in electrical engineering
yaml,bachelor of commerce
xml,certificate in cloud computing
http,training in AWS cloud
https,master of engineering in electronics
tcp/ip,m.arch in urban design
udp,master of technology in machine learning
websockets,m.des in animation
oauth2,certificate in devops
jwt,b.tech in artificial intelligence
ssl,bachelor of arts in history
tls,b.tech in artificial intelligence
sso,master of commerce
data mining,llm
feature engineering,certificate in cloud computing
data cleaning,master of engineering in robotics
data wrangling,phd in mechanical engineering
business analysis,diploma in electronics and communication
data governance,bachelor of technology in information technology
data modeling,m.sc in botany
crm,phd in data science
erp,llm
sap,b.e in civil
salesforce,master of engineering in electronics
zendesk,b.tech in robotics
confluence,b.ed
notion,certificate in cloud computing
figma,b.lit
sketch,b.des in graphic design
adobe xd,b.des in graphic design
photoshop,bootcamp in web development
illustrator,master of commerce
premiere pro,b.e in civil
after effects,llm
unity,certificate in full stack development
unreal engine,bachelor of technology in information technology
blockchain,m.arch in urban design
solidity,b.sc in zoology
web3,bootcamp in machine learning
metamask,master of engineering in electronics
truffle,bachelor of technology in information technology
ganache,b.arch in architecture
hardhat,certificate in full stack development
chainlink,bachelor of business administration
defi,master of library science
nft,bootcamp in web development
cryptography,b.tech in robotics
penetration testing,phd in data science
cybersecurity,bachelor of science in mathematics
network security,master of engineering in electronics
firewalls,bachelor of technology in electronics
endpoint protection,bachelor of science in computer science
identity management,bachelor of engineering in electrical engineering
SIEM,associate degree in computer science
SOAR,b.arch in architecture
zabbix,master of commerce
nagios,m.des in animation
logstash,b.sc in chemistry
kibana,b.arch in architecture
redis,master of engineering in robotics
cassandra,b.arch in architecture
couchdb,phd in data science
influxdb,bachelor of engineering in electrical engineering
timescaledb,master of science in data science
rabbitmq,master of technology in machine learning
kafka,m.tech in data science
zeroMQ,b.lit
mqtt,certificate in graphic design
API testing,bca
postman,m.tech in cybersecurity
swagger,master of science in data science
testng,b.tech in artificial intelligence
junit,mca
mocha,bachelor of library science
chai,pgdm in finance
selenium,bachelor of science in mathematics
cypress,bachelor of technology in electronics
playwright,m.arch in urban design
jest,b.arch in architecture
jasmine,m.tech in cybersecurity
robot framework,m.sc in microbiology
load testing,b.arch in architecture
jmeter,bachelor of engineering in electrical engineering
gatling,certificate in full stack development
locust,bachelor of technology in electronics
a/b testing,bachelor of science in mathematics
growth hacking,b.sc in zoology
seo,bachelor of engineering in electrical engineering
sem,b.tec
email marketing,master of engineering in robotics
content marketing,diploma in electronics and communication
affiliate marketing,certificate in cloud computing
google analytics,m.pharma
mixpanel,master of arts in political science
segment,master of science in data science
hotjar,master of engineering in electronics
clevertap,llm
angular,m.ed
data modeling,bachelor of technology in information technology
jmeter,m.pharma
network security,diploma in electronics and communication
feature engineering,b.ed
gatling,b.lit
feature engineering,bachelor of science in mathematics
yaml,pgdm in finance
redshift,bachelor of science in mathematics
gatling,m.tech in data science
mocha,m.tech in data science
firewalls,master of science in data science
identity management,master of engineering in electronics
jmeter,b.lit
network security,bachelor of technology in information technology
jira,b.sc in chemistry
flask,b.ed
locust,bachelor of arts in economics
aws,b.tech in artificial intelligence
network security,b.e in electronics
segment,bachelor of commerce
seaborn,llm
python,b.sc in chemistry
timescaledb,b.lit
css,master of engineering in electronics
tensorflow,bachelor of technology in electronics
premiere pro,master of commerce
influxdb,b.sc in chemistry
fastapi,diploma in game design
data cleaning,bachelor of engineering in electrical engineering
identity management,certificate in full stack development
figma,master of arts in sociology
seaborn,certificate in cloud computing
c++,certificate in digital marketing
jenkins,certificate in full stack development
snowflake,b.lit
confluence,b.des in graphic design
mocha,bachelor of computer application
photoshop,master of science in artificial intelligence
unreal engine,bachelor of technology in electronics
sql,b.arch in architecture
udp,mba in international business
network security,pgdm in marketing
seo,certificate in cloud computing
sso,master of computer application
css,m.pharma
affiliate marketing,bachelor of technology in information technology
bash,bachelor of technology in information technology
web3,b.lit
mocha,diploma in electronics and communication
